中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,17 ms,928 Mbps,118784 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,8 ms,2176 Mbps,278528 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,21 ms,440 Mbps,56422 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,22 ms,944 Mbps,120832 kB/s
129.146.46.164,443,129.146.46.164,US,328 Mbps,42086 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,62 ms,388 Mbps,49664 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,601 Mbps,77004 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,80 ms,5 Mbps,671 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,220 Mbps,28160 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,116 ms,44 Mbps,5640 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,115 ms,29 Mbps,3730 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,121 ms,51 Mbps,6548 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,117 ms,189 Mbps,24268 kB/s
130.162.132.157,443,132.226.239.169,KR,Seoul,隧道,138 ms,156 Mbps,20070 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,152 ms,46 Mbps,5909 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,150 ms,145 Mbps,18636 kB/s
152.70.55.39,443,158.178.156.14,NL,Amsterdam,隧道,148 ms,114 Mbps,14643 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,156 ms,140 Mbps,18022 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,168 ms,46 Mbps,5906 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,154 ms,164 Mbps,21094 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,183 ms,36 Mbps,4667 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,140 ms,43 Mbps,5526 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,170 ms,43 Mbps,5510 kB/s
141.148.244.95,443,163.123.193.23,DE,Frankfurt,隧道,163 ms,112 Mbps,14336 kB/s
