中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,12 ms,353 Mbps,45260 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,20 ms,1216 Mbps,155648 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,16 ms,864 Mbps,110592 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,50 ms,38 Mbps,4976 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,16 ms,46 Mbps,5893 kB/s
129.146.7.98,443,2a09:bac5:60ef:183c::26a:db,US,Los Angeles,隧道,49 ms,76 Mbps,9787 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,49 ms,352 Mbps,45056 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,47 ms,477 Mbps,61132 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,54 ms,315 Mbps,40345 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,196 Mbps,25088 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,60 ms,472 Mbps,60416 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,62 ms,343 Mbps,43929 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,51 ms,451 Mbps,57753 kB/s
143.47.252.60,443,2a0b:21c0:1007:c7:0:a7c2:89bf:1f13,DE,Frankfurt,隧道,109 ms,98 Mbps,12595 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,104 ms,40 Mbps,5217 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,114 ms,214 Mbps,27443 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,111 ms,184 Mbps,23654 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,106 ms,188 Mbps,24064 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,112 ms,45 Mbps,5853 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,110 ms,42 Mbps,5470 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,144 ms,144 Mbps,18432 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,154 ms,137 Mbps,17612 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,146 ms,2 Mbps,314 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,154 ms,38 Mbps,4945 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,150 ms,27 Mbps,3498 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,174 ms,105 Mbps,13516 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,180 ms,44 Mbps,5639 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,201 ms,41 Mbps,5311 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,203 ms,35 Mbps,4577 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,209 ms,71 Mbps,9180 kB/s
8.219.86.116,443,47.84.40.188,SG,Singapore,隧道,279 ms,27 Mbps,3483 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,210 ms,0 Mbps,27 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,199 ms,0 Mbps,38 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,1154 ms,35 Mbps,4534 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,266 ms,0 Mbps,22 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,1060 ms,220 Mbps,28262 kB/s
