中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,24 ms,7 Mbps,912 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,41 ms,490 Mbps,62771 kB/s
34.82.76.253,443,34.187.190.53,US,Seattle,隧道,48 ms,449 Mbps,57548 kB/s
35.230.79.26,443,35.212.240.155,US,Seattle,隧道,48 ms,420 Mbps,53862 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,23 ms,60 Mbps,7728 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,40 ms,439 Mbps,56217 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,376 Mbps,48128 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,46 ms,524 Mbps,67072 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,52 ms,420 Mbps,53862 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,59 ms,388 Mbps,49664 kB/s
35.197.23.75,443,35.212.240.155,US,Seattle,隧道,50 ms,417 Mbps,53452 kB/s
152.70.52.84,443,163.123.193.23,DE,Frankfurt,隧道,117 ms,168 Mbps,21606 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,107 ms,45 Mbps,5831 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,124 ms,164 Mbps,21094 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,144 ms,184 Mbps,23552 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,136 ms,42 Mbps,5445 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,115 ms,168 Mbps,21504 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,144 ms,39 Mbps,5095 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,140 Mbps,17920 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,187 ms,38 Mbps,4898 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,195 ms,0 Mbps,87 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,127 ms,49 Mbps,6312 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,218 ms,21 Mbps,2711 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,230 ms,63 Mbps,8073 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,161 ms,37 Mbps,4751 kB/s
