中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,7 Mbps,917 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,784 Mbps,100352 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,64 ms,282 Mbps,36147 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,70 ms,394 Mbps,50483 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,375 Mbps,48025 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,444 Mbps,56832 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,61 ms,395 Mbps,50585 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,260 Mbps,33280 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,69 ms,301 Mbps,38604 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,62 ms,333 Mbps,42700 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,248 Mbps,31744 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,295 Mbps,37785 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,91 ms,48 Mbps,6177 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,94 ms,48 Mbps,6191 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,162 ms,123 Mbps,15769 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,178 ms,42 Mbps,5462 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,172 ms,40 Mbps,5168 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,206 ms,34 Mbps,4377 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,236 ms,19 Mbps,2509 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,199 ms,94 Mbps,12083 kB/s
