中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,16 ms,1232 Mbps,157696 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,8 ms,456 Mbps,58368 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,43 ms,533 Mbps,68300 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,17 ms,816 Mbps,104448 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,39 ms,467 Mbps,59801 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,22 ms,593 Mbps,75980 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,42 ms,526 Mbps,67379 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,58 ms,9 Mbps,1212 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,60 ms,389 Mbps,49868 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,56 ms,426 Mbps,54579 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,54 ms,425 Mbps,54476 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,41 ms,344 Mbps,44032 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,126 ms,41 Mbps,5272 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,201 Mbps,25804 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,116 ms,43 Mbps,5523 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,108 ms,1 Mbps,233 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,155 ms,132 Mbps,16998 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,133 ms,204 Mbps,26112 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,146 ms,118 Mbps,15155 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,145 ms,36 Mbps,4707 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,139 ms,41 Mbps,5367 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,156 ms,138 Mbps,17715 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,154 ms,37 Mbps,4846 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,160 ms,40 Mbps,5143 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,160 ms,35 Mbps,4544 kB/s
141.147.117.4,443,2a0b:21c0:100a:1b2:0:5d67:8afb:6b87,DE,Frankfurt,隧道,161 ms,133 Mbps,17100 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,153 ms,161 Mbps,20684 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,165 ms,42 Mbps,5404 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,162 ms,134 Mbps,17203 kB/s
158.101.130.149,443,2602:ffe4:407:20da:0:75cc:e3df:fd8,SG,Singapore,隧道,195 ms,88 Mbps,11366 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,154 ms,42 Mbps,5487 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,137 ms,0 Mbps,55 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,166 ms,1 Mbps,143 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,185 ms,0 Mbps,17 kB/s
