中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,15 ms,784 Mbps,100352 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,7 Mbps,951 kB/s
35.197.23.75,443,35.212.172.135,US,Seattle,隧道,49 ms,475 Mbps,60825 kB/s
129.146.46.164,443,129.146.46.164,285 Mbps,36556 kB/s
129.146.46.164,,,隧道,0 ms,null Mbps,null kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,51 ms,431 Mbps,55193 kB/s
35.230.79.26,443,35.212.172.135,US,Seattle,隧道,48 ms,482 Mbps,61747 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,54 ms,303 Mbps,38809 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,58 ms,360 Mbps,46182 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,389 Mbps,49868 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,54 ms,485 Mbps,62156 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,105 ms,48 Mbps,6258 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,232 Mbps,29798 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,121 ms,181 Mbps,23244 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,109 ms,193 Mbps,24780 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,115 ms,43 Mbps,5528 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,146 ms,144 Mbps,18534 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,163 ms,40 Mbps,5154 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,154 ms,38 Mbps,4885 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,141 ms,33 Mbps,4250 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,153 ms,41 Mbps,5353 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,194 ms,43 Mbps,5567 kB/s
8.219.97.136,443,47.236.1.53,SG,Singapore,隧道,214 ms,70 Mbps,8962 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,219 ms,0 Mbps,20 kB/s
