中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
44.230.218.23,443,54.212.217.183,US,,隧道,56 ms,213 Mbps,27340 kB/s
8.219.174.213,443,8.219.174.213,SG,Singapore,中转,255 ms,52 Mbps,6661 kB/s
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,236 ms,51 Mbps,6636 kB/s
103.137.63.2,443,61.224.109.123,TW,,隧道,140 ms,113 Mbps,14540 kB/s
8.219.106.156,443,8.219.106.156,SG,Singapore,中转,239 ms,72 Mbps,9255 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,165 ms,0 Mbps,45 kB/s
54.203.85.46,443,204.110.220.224,US,,隧道,35 ms,472 Mbps,60518 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,49 ms,515 Mbps,65945 kB/s
103.137.63.3,443,61.224.78.98,TW,,隧道,141 ms,128 Mbps,16486 kB/s
204.110.220.3,443,204.110.220.206,US,,隧道,115 ms,445 Mbps,57036 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,43 ms,534 Mbps,68403 kB/s
8.219.66.156,443,8.219.66.156,SG,Singapore,中转,241 ms,56 Mbps,7283 kB/s
18.159.105.97,443,3.68.128.205,DE,,隧道,141 ms,136 Mbps,17408 kB/s
3.138.59.154,443,3.130.64.226,US,,隧道,53 ms,423 Mbps,54169 kB/s
18.191.122.211,443,3.130.64.226,US,,隧道,97 ms,417 Mbps,53452 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,135 ms,138 Mbps,17715 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,1255 ms,13 Mbps,1731 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,133 ms,41 Mbps,5344 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,63 ms,335 Mbps,42905 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,231 ms,50 Mbps,6417 kB/s
3.66.115.225,443,3.68.128.205,DE,,隧道,135 ms,139 Mbps,17817 kB/s
18.185.254.189,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,135 ms,134 Mbps,17203 kB/s
35.157.240.237,443,3.68.128.205,DE,,隧道,138 ms,131 Mbps,16793 kB/s
141.145.199.188,443,141.145.199.188,FR,,中转,132 ms,134 Mbps,17203 kB/s
18.192.93.64,443,3.68.128.205,DE,,隧道,141 ms,119 Mbps,15257 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,141 ms,121 Mbps,15564 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,181 ms,75 Mbps,9621 kB/s
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,200 ms,118 Mbps,15155 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,137 ms,124 Mbps,15974 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,63 ms,51 Mbps,6552 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,70 ms,7 Mbps,932 kB/s
130.162.184.173,443,130.162.184.173,GB,London,中转,135 ms,46 Mbps,5990 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,28 ms,112 Mbps,14336 kB/s
131.186.60.210,443,2603:c021:8002:900:8479:146e:b870:4762,JP,Tokyo,隧道,163 ms,44 Mbps,5680 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,239 ms,69 Mbps,8894 kB/s
8.219.50.180,443,8.219.50.180,SG,Singapore,中转,270 ms,55 Mbps,7101 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,128 ms,144 Mbps,18534 kB/s
141.147.178.154,443,141.147.178.154,JP,Tokyo,中转,156 ms,38 Mbps,4958 kB/s
172.104.120.67,443,172.104.120.67,JP,Tokyo,中转,108 ms,164 Mbps,20992 kB/s
8.219.193.202,443,8.219.193.202,SG,Singapore,中转,269 ms,50 Mbps,6489 kB/s
8.219.198.34,443,8.219.198.34,SG,Singapore,中转,239 ms,51 Mbps,6555 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,70 ms,291 Mbps,37273 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,242 ms,114 Mbps,14643 kB/s
8.219.170.232,443,8.219.170.232,SG,Singapore,中转,235 ms,63 Mbps,8136 kB/s
158.180.68.56,443,158.180.68.56,KR,Seoul,中转,188 ms,139 Mbps,17817 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,139 ms,34 Mbps,4360 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,65 ms,49 Mbps,6350 kB/s
152.70.112.158,443,152.70.112.158,US,San Jose,中转,30 ms,77 Mbps,9880 kB/s
129.80.26.68,443,129.80.26.68,US,,中转,63 ms,302 Mbps,38707 kB/s
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,242 ms,68 Mbps,8746 kB/s
152.67.44.30,443,152.67.44.30,BR,S
