中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,16 ms,754 Mbps,96563 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,51 ms,408 Mbps,52224 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,52 ms,154 Mbps,19763 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,300 Mbps,38400 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,53 ms,49 Mbps,6329 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,400 Mbps,51200 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,31 ms,49 Mbps,6303 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,22 ms,570 Mbps,73011 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,31 ms,413 Mbps,52940 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,50 ms,390 Mbps,49971 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,50 ms,379 Mbps,48537 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,118 ms,387 Mbps,49561 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,95 ms,401 Mbps,51404 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,58 ms,452 Mbps,57958 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,70 ms,476 Mbps,61030 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,96 ms,216 Mbps,27750 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,57 ms,452 Mbps,57958 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,349 Mbps,44748 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,53 ms,448 Mbps,57446 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,36 ms,68 Mbps,8765 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,63 ms,10 Mbps,1280 kB/s
150.230.47.3,443,150.230.47.3,US,San Jose,中转,55 ms,46 Mbps,6003 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,109 ms,164 Mbps,21094 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,114 ms,164 Mbps,21094 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,101 ms,49 Mbps,6306 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,64 ms,185 Mbps,23756 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,156 ms,197 Mbps,25292 kB/s
146.56.46.84,443,146.56.46.84,KR,Seoul,中转,169 ms,40 Mbps,5229 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,114 ms,46 Mbps,5978 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,46 Mbps,5942 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,113 ms,179 Mbps,22937 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,157 ms,76 Mbps,9790 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,196 ms,36 Mbps,4661 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,50 ms,50 Mbps,6523 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,114 ms,188 Mbps,24064 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,174 ms,112 Mbps,14438 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,100 ms,158 Mbps,20275 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,143 ms,20 Mbps,2683 kB/s
140.238.88.47,443,140.238.88.47,GB,London,中转,94 ms,204 Mbps,26112 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,197 ms,39 Mbps,4994 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,168 ms,50 Mbps,6438 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,101 ms,188 Mbps,24166 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,187 ms,76 Mbps,9764 kB/s
129.146.175.160,443,129.146.175.160,US,Los Angeles,中转,54 ms,215 Mbps,27545 kB/s
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,288 ms,15 Mbps,1952 kB/s
144.24.74.51,443,144.24.74.51,KR,Seoul,中转,229 ms,87 Mbps,11161 kB/s
152.67.44.30,443,152.67.44.30,BR,S
