中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,21 ms,1048 Mbps,134144 kB/s
35.197.23.75,443,35.212.133.201,US,Seattle,隧道,66 ms,464 Mbps,59392 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,12 ms,816 Mbps,104448 kB/s
129.146.7.98,443,2a09:bac5:60ea:1173::1bd:9d,US,Los Angeles,隧道,58 ms,58 Mbps,7518 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,25 ms,1160 Mbps,148480 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,17 ms,67 Mbps,8683 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,61 ms,355 Mbps,45465 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,72 ms,91 Mbps,11673 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,51 ms,442 Mbps,56627 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,19 ms,69 Mbps,8925 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,48 ms,293 Mbps,37580 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,49 ms,540 Mbps,69222 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,207 Mbps,26521 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,65 ms,264 Mbps,33894 kB/s
35.230.79.26,443,35.212.133.201,US,Seattle,隧道,52 ms,499 Mbps,63897 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,131 ms,202 Mbps,25907 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,112 ms,48 Mbps,6211 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,101 ms,40 Mbps,5195 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,197 Mbps,25292 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,232 Mbps,29798 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,122 ms,44 Mbps,5741 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,146 ms,143 Mbps,18329 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,110 ms,247 Mbps,31641 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,149 ms,3 Mbps,416 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,114 ms,42 Mbps,5487 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,115 ms,43 Mbps,5576 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,149 ms,39 Mbps,5055 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,161 ms,36 Mbps,4684 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,150 ms,40 Mbps,5177 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,186 ms,37 Mbps,4856 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,117 ms,38 Mbps,4984 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,172 ms,89 Mbps,11468 kB/s
130.162.144.191,443,2a09:bac5:4733:1482::20b:a5,KR,Seoul,隧道,187 ms,37 Mbps,4757 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,219 ms,37 Mbps,4833 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,196 ms,20 Mbps,2589 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,215 ms,2 Mbps,276 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,224 ms,26 Mbps,3432 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,209 ms,91 Mbps,11673 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,210 ms,3 Mbps,504 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,178 ms,34 Mbps,4437 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,239 ms,35 Mbps,4525 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,205 ms,0 Mbps,79 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,214 ms,31 Mbps,3990 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,345 ms,0 Mbps,13 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,193 ms,0 Mbps,5 kB/s
