中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,647 Mbps,82841 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,22 ms,757 Mbps,96972 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,12 ms,74 Mbps,9515 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,12 ms,64 Mbps,8290 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,67 ms,420 Mbps,53862 kB/s
47.253.152.99,443,47.253.152.99,US,Ashburn,中转,6 ms,24 Mbps,3084 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,96 ms,49 Mbps,6369 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,109 ms,267 Mbps,34201 kB/s
129.146.46.164,443,129.146.46.164,US,324 Mbps,41574 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26b:a5,US,Los Angeles,隧道,61 ms,70 Mbps,9086 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,19 ms,84 Mbps,10854 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,82 ms,294 Mbps,37683 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,22 ms,59 Mbps,7580 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,120 ms,136 Mbps,17510 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,223 Mbps,28569 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,93 ms,224 Mbps,28774 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,20 ms,408 Mbps,52224 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,98 ms,306 Mbps,39219 kB/s
141.147.64.246,443,2a0b:21c0:1007:1ca:0:7d63:86d8:2626,DE,Frankfurt,隧道,98 ms,113 Mbps,14540 kB/s
47.253.192.14,443,47.253.192.14,US,Ashburn,中转,11 ms,215 Mbps,27545 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,82 ms,339 Mbps,43417 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,83 ms,338 Mbps,43315 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,276 Mbps,35328 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,194 ms,112 Mbps,14438 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,5 ms,848 Mbps,108544 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,83 ms,239 Mbps,30617 kB/s
144.24.53.45,443,144.24.53.45,US,Los Angeles,中转,62 ms,44 Mbps,5705 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,74 ms,244 Mbps,31232 kB/s
141.144.195.62,443,98.98.156.18,DE,Frankfurt,隧道,120 ms,257 Mbps,32972 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,205 ms,85 Mbps,10956 kB/s
130.162.225.64,443,2606:f240:f00:83a7:0:2d7d:c732:8a97,US,Frankfurt,隧道,101 ms,227 Mbps,29081 kB/s
144.22.252.124,443,144.22.252.124,BR,S
