中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,23 ms,824 Mbps,105472 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,25 ms,664 Mbps,84992 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,47 ms,339 Mbps,43417 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,35 ms,619 Mbps,79257 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,39 ms,513 Mbps,65740 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,36 ms,456 Mbps,58368 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,54 ms,422 Mbps,54067 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,34 ms,382 Mbps,48947 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,35 ms,739 Mbps,94617 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,66 ms,2 Mbps,338 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,132 ms,165 Mbps,21196 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,125 ms,49 Mbps,6373 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,142 ms,196 Mbps,25088 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,122 ms,196 Mbps,25190 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,133 ms,164 Mbps,21094 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,128 ms,45 Mbps,5797 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,131 ms,44 Mbps,5678 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,135 ms,148 Mbps,19046 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,140 ms,45 Mbps,5825 kB/s
8.219.88.129,443,8.219.142.198,SG,Singapore,隧道,198 ms,70 Mbps,8974 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,207 ms,24 Mbps,3116 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,216 ms,7 Mbps,967 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,148 ms,38 Mbps,4941 kB/s
