中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac5:60eb:1173::1bd:ea,US,Los Angeles,隧道,18 ms,101 Mbps,13004 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,324 Mbps,41574 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,31 ms,672 Mbps,86118 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,44 ms,683 Mbps,87449 kB/s
47.88.24.237,443,47.88.24.237,US,San Jose,中转,13 ms,23 Mbps,3066 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,33 ms,57 Mbps,7339 kB/s
192.9.138.241,443,192.9.138.241,,colo.txt:San Jose,中转,0 ms,1624 Mbps,207872 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,47 ms,2440 Mbps,312320 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,33 ms,28 Mbps,3630 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,199 Mbps,25497 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,5 ms,88 Mbps,11264 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,29 ms,904 Mbps,115712 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,36 ms,880 Mbps,112640 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,42 ms,724 Mbps,92774 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,2 ms,10 Mbps,1341 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,85 ms,49 Mbps,6294 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,159 ms,115 Mbps,14745 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,100 ms,132 Mbps,16998 kB/s
129.146.168.102,443,104.28.205.111,US,Los Angeles,隧道,27 ms,49 Mbps,6352 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,140 ms,192 Mbps,24678 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,196 ms,123 Mbps,15769 kB/s
132.226.31.178,443,2a09:bac5:60ec:78::c:3a4,US,Los Angeles,隧道,33 ms,51 Mbps,6568 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,26 ms,3 Mbps,428 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,60 ms,348 Mbps,44544 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,54 ms,374 Mbps,47923 kB/s
8.219.251.205,443,8.222.207.55,SG,Singapore,隧道,171 ms,88 Mbps,11264 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,158 ms,39 Mbps,4995 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,158 ms,98 Mbps,12595 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,133 ms,17 Mbps,2186 kB/s
8.222.226.52,443,8.222.220.238,SG,Singapore,隧道,171 ms,32 Mbps,4161 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,72 ms,48 Mbps,6156 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,65 ms,336 Mbps,43110 kB/s
8.219.193.175,443,47.236.58.234,SG,Singapore,隧道,170 ms,91 Mbps,11673 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,186 ms,39 Mbps,5033 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,158 ms,115 Mbps,14745 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,145 ms,144 Mbps,18534 kB/s
8.219.111.133,443,8.219.142.198,SG,Singapore,隧道,170 ms,96 Mbps,12288 kB/s
141.144.199.182,443,2a0b:21c0:100a:1b1:0:8c88:141d:b8de,DE,Frankfurt,隧道,206 ms,107 Mbps,13721 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,133 ms,43 Mbps,5544 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,3 Mbps,428 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,136 ms,134 Mbps,17203 kB/s
47.242.57.185,443,47.242.57.185,HK,Hong Kong,中转,178 ms,0 Mbps,7 kB/s
130.162.163.26,443,2a0b:21c0:100a:1b1:0:584:eac:4fb7,DE,Frankfurt,隧道,162 ms,75 Mbps,9717 kB/s
144.22.252.124,443,144.22.252.124,BR,S
