中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
130.162.43.230,443,2a0b:21c0:1007:c7:0:14e1:fd79:8d37,DE,Frankfurt,隧道,210 ms,104 Mbps,13312 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,218 ms,68 Mbps,8762 kB/s
193.123.57.18,443,2a0b:21c0:100a:1b4:0:a093:1e8a:454c,DE,Frankfurt,隧道,301 ms,107 Mbps,13721 kB/s
131.186.37.192,443,2602:ffe4:407:20da:0:cd99:37d7:16ce,SG,Singapore,隧道,170 ms,91 Mbps,11673 kB/s
193.122.117.159,443,193.122.117.159,KR,Seoul,中转,347 ms,44 Mbps,5641 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,134 ms,108 Mbps,13824 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,161 ms,106 Mbps,13619 kB/s
138.2.122.191,443,138.2.122.191,KR,Seoul,中转,224 ms,40 Mbps,5155 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,176 ms,12 Mbps,1583 kB/s
141.147.40.199,443,2a0b:21c0:1007:1c7:0:7c2a:d9fa:165a,DE,Frankfurt,隧道,160 ms,96 Mbps,12288 kB/s
131.186.27.165,443,2602:ffe4:407:21d9:0:73fc:f94e:b8b7,SG,Singapore,隧道,200 ms,68 Mbps,8785 kB/s
158.101.205.99,443,2606:f240:f00:2be4:0:e1de:189b:3510,US,Frankfurt,隧道,228 ms,105 Mbps,13516 kB/s
138.2.171.229,443,98.98.166.194,US,Frankfurt,隧道,160 ms,103 Mbps,13209 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,181 ms,80 Mbps,10240 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,160 ms,39 Mbps,5001 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,150 ms,32 Mbps,4155 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,258 ms,21 Mbps,2745 kB/s
150.230.196.248,443,150.230.196.248,JP,Tokyo,中转,216 ms,37 Mbps,4809 kB/s
193.123.81.105,443,193.123.81.105,AE,Marseille,中转,253 ms,27 Mbps,3566 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,161 ms,0 Mbps,59 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,102 ms,181 Mbps,23244 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,79 ms,1432 Mbps,183296 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,71 ms,15 Mbps,2023 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,13 ms,61 Mbps,7916 kB/s
144.24.76.59,443,144.24.76.59,KR,Seoul,中转,129 ms,46 Mbps,5985 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,60 ms,47 Mbps,6091 kB/s
158.101.142.100,443,158.101.142.100,JP,Tokyo,中转,149 ms,121 Mbps,15564 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,159 ms,101 Mbps,13004 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,130 ms,37 Mbps,4846 kB/s
64.110.79.188,443,64.110.79.188,KR,Seoul,中转,136 ms,122 Mbps,15667 kB/s
141.148.227.53,443,2606:f240:f00:a683:0:644c:74d5:20ec,US,Frankfurt,隧道,159 ms,98 Mbps,12595 kB/s
141.147.99.4,443,2606:f240:f00:6acf:0:2ace:7f30:a6d7,US,Frankfurt,隧道,155 ms,102 Mbps,13107 kB/s
150.230.216.127,443,2602:ffe4:407:20d9:0:6b9b:89b6:1c68,SG,Singapore,隧道,168 ms,91 Mbps,11673 kB/s
129.150.51.134,443,129.150.51.134,SG,Singapore,中转,168 ms,87 Mbps,11161 kB/s
138.2.66.92,443,138.2.66.92,SG,Singapore,中转,170 ms,104 Mbps,13312 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,40 ms,568 Mbps,72704 kB/s
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,70 ms,15 Mbps,2011 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,303 ms,0 Mbps,17 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,129 ms,41 Mbps,5302 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,214 ms,32 Mbps,4150 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,149 ms,20 Mbps,2607 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,169 ms,0 Mbps,69 kB/s
