中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,7 Mbps,967 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,800 Mbps,102400 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,359 Mbps,45977 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,265 Mbps,33996 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,60 ms,312 Mbps,40038 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,62 ms,382 Mbps,48947 kB/s
129.146.46.164,443,129.146.46.164,319 Mbps,40857 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,69 ms,376 Mbps,48128 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,69 ms,298 Mbps,38195 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,88 ms,38 Mbps,4925 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,67 ms,373 Mbps,47820 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,240 Mbps,30720 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,240 Mbps,30822 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,89 ms,273 Mbps,35020 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,93 ms,41 Mbps,5256 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,168 ms,38 Mbps,4941 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,163 ms,126 Mbps,16179 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,179 ms,43 Mbps,5538 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,172 ms,41 Mbps,5250 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,198 ms,36 Mbps,4648 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,247 ms,23 Mbps,3039 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,245 ms,25 Mbps,3261 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,208 ms,21 Mbps,2777 kB/s
