中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,26 ms,331 Mbps,42393 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,49 ms,21 Mbps,2738 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,62 ms,320 Mbps,40960 kB/s
35.230.79.26,443,35.233.204.31,US,Seattle,隧道,37 ms,553 Mbps,70860 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,64 ms,675 Mbps,86425 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,55 ms,1160 Mbps,148480 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,41 ms,534 Mbps,68403 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,63 ms,613 Mbps,78540 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,36 ms,984 Mbps,125952 kB/s
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,16 ms,392 Mbps,50176 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,21 ms,1080 Mbps,138240 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,156 ms,666 Mbps,85299 kB/s
129.159.47.255,443,129.159.47.255,US,San Jose,中转,18 ms,63 Mbps,8089 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,20 ms,275 Mbps,35225 kB/s
35.197.23.75,443,35.233.204.31,US,Seattle,隧道,41 ms,556 Mbps,71270 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,71 ms,315 Mbps,40345 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,23 ms,984 Mbps,125952 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,60 ms,3 Mbps,506 kB/s
192.9.224.194,443,192.9.224.194,US,San Jose,中转,22 ms,61 Mbps,7896 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,128 ms,426 Mbps,54579 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,173 ms,56 Mbps,7207 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,41 ms,574 Mbps,73523 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,17 ms,54 Mbps,6996 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,143 ms,112 Mbps,14438 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,140 ms,332 Mbps,42496 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,63 ms,390 Mbps,49971 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,55 ms,405 Mbps,51916 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,113 ms,194 Mbps,24883 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,132 ms,47 Mbps,6132 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,175 ms,67 Mbps,8639 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,19 ms,66 Mbps,8522 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,174 ms,78 Mbps,10035 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,144 ms,141 Mbps,18124 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,149 ms,111 Mbps,14233 kB/s
