中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,340 Mbps,43520 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,17 ms,468 Mbps,59904 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,59 Mbps,7621 kB/s
35.197.23.75,443,34.168.165.202,US,Seattle,隧道,22 ms,832 Mbps,106496 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,11 ms,720 Mbps,92262 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,62 ms,356 Mbps,45670 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,45 ms,674 Mbps,86323 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,53 ms,1368 Mbps,175104 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,19 ms,676 Mbps,86630 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,24 ms,1408 Mbps,180224 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,66 ms,290 Mbps,37171 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,45 ms,648 Mbps,83046 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,104 ms,636 Mbps,81510 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,36 ms,65 Mbps,8430 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,35 ms,1832 Mbps,234496 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,14 ms,1688 Mbps,216064 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,69 ms,1216 Mbps,155648 kB/s
35.230.79.26,443,34.168.165.202,US,Seattle,隧道,141 ms,904 Mbps,115712 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,49 ms,528 Mbps,67584 kB/s
34.82.76.253,443,34.127.109.144,US,Seattle,隧道,59 ms,896 Mbps,114688 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,65 ms,20 Mbps,2633 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,41 ms,448 Mbps,57344 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,72 ms,311 Mbps,39833 kB/s
192.9.159.65,443,192.9.159.65,US,San Jose,中转,134 ms,65 Mbps,8361 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,150 ms,9 Mbps,1189 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,60 ms,354 Mbps,45363 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,209 ms,406 Mbps,52019 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,148 ms,116 Mbps,14848 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,153 ms,103 Mbps,13209 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,214 ms,180 Mbps,23040 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,74 ms,99 Mbps,12697 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,100 Mbps,12902 kB/s
64.110.103.69,443,64.110.103.69,38 Mbps,4868 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,225 ms,92 Mbps,11878 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,142 ms,157 Mbps,20172 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,152 ms,129 Mbps,16588 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,168 ms,64 Mbps,8285 kB/s
168.138.71.220,443,168.138.71.220,CA,Montréal,中转,135 ms,51 Mbps,6558 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,169 ms,76 Mbps,9755 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,154 ms,119 Mbps,15257 kB/s
141.147.84.57,443,2a0b:21c0:1007:c8:0:fe67:dd31:7698,DE,Frankfurt,隧道,161 ms,109 Mbps,14028 kB/s
146.56.161.229,443,146.56.161.229,KR,Hong Kong,中转,132 ms,111 Mbps,14233 kB/s
45.76.220.61,443,45.76.220.61,JP,Tokyo,中转,105 ms,184 Mbps,23552 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,152 ms,111 Mbps,14233 kB/s
150.230.63.93,443,150.230.63.93,43 Mbps,5585 kB/s
150.230.63.93,,,隧道,0 ms,null Mbps,null kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,155 ms,42 Mbps,5442 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,80 ms,4 Mbps,626 kB/s
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,155 ms,41 Mbps,5314 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,169 ms,81 Mbps,10444 kB/s
8.222.164.209,443,8.222.164.209,SG,Singapore,中转,173 ms,65 Mbps,8435 kB/s
129.150.37.203,443,129.150.37.203,SG,Singapore,中转,169 ms,89 Mbps,11468 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,167 ms,32 Mbps,4142 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,161 ms,35 Mbps,4508 kB/s
138.2.104.102,443,138.2.104.102,SG,Singapore,中转,173 ms,93 Mbps,11980 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,154 ms,39 Mbps,5071 kB/s
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,167 ms,83 Mbps,10649 kB/s
8.222.222.64,443,8.222.222.64,SG,Singapore,中转,168 ms,72 Mbps,9291 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,169 ms,3 Mbps,430 kB/s
132.226.10.65,443,132.226.10.65,JP,Osaka,中转,153 ms,45 Mbps,5841 kB/s
152.67.65.201,443,152.67.65.201,CH,Düsseldorf,中转,168 ms,37 Mbps,4744 kB/s
47.245.86.230,443,47.245.86.230,SG,Singapore,中转,169 ms,85 Mbps,10956 kB/s
8.218.148.106,443,8.218.148.106,HK,,中转,152 ms,0 Mbps,2 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,25 ms,412 Mbps,52838 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,158 ms,39 Mbps,5028 kB/s
129.154.50.220,443,129.154.50.220,KR,San Jose,中转,132 ms,123 Mbps,15769 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,28 ms,543 Mbps,69529 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,47 ms,255 Mbps,32665 kB/s
8.219.66.156,443,8.219.66.156,SG,Osaka,中转,246 ms,86 Mbps,11059 kB/s
8.219.50.180,443,8.219.50.180,SG,Singapore,中转,168 ms,96 Mbps,12390 kB/s
8.219.174.213,443,8.219.174.213,SG,Singapore,中转,172 ms,88 Mbps,11366 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,168 ms,92 Mbps,11878 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,146 ms,136 Mbps,17408 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,169 ms,3 Mbps,496 kB/s
204.110.220.3,443,204.110.220.67,US,,隧道,22 ms,430 Mbps,55091 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,235 ms,18 Mbps,2310 kB/s
103.137.63.3,443,111.247.41.7,TW,,隧道,141 ms,104 Mbps,13414 kB/s
3.138.59.154,443,3.130.94.216,US,,隧道,69 ms,358 Mbps,45875 kB/s
54.203.85.46,443,204.110.220.36,US,,隧道,117 ms,352 Mbps,45056 kB/s
141.145.199.188,443,141.145.199.188,FR,,中转,150 ms,125 Mbps,16076 kB/s
18.191.122.211,443,3.130.94.216,US,,隧道,63 ms,332 Mbps,42496 kB/s
18.159.105.97,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,163 ms,102 Mbps,13107 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,69 ms,374 Mbps,47923 kB/s
