中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,29 ms,552 Mbps,70758 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,19 ms,433 Mbps,55500 kB/s
129.146.7.98,443,2a09:bac1:76e0:e18::c:367,US,Los Angeles,隧道,65 ms,67 Mbps,8600 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,37 ms,960 Mbps,122880 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,87 ms,228 Mbps,29184 kB/s
47.253.86.6,443,47.253.86.6,US,Ashburn,中转,2 ms,487 Mbps,62361 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,162 ms,106 Mbps,13619 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,73 ms,49 Mbps,6313 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,264 Mbps,33894 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,76 ms,162 Mbps,20787 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,282 Mbps,36147 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,79 ms,211 Mbps,27033 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,63 ms,49 Mbps,6367 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,73 ms,92 Mbps,11878 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,87 ms,79 Mbps,10137 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,151 ms,308 Mbps,39526 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,105 ms,126 Mbps,16179 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,85 ms,244 Mbps,31232 kB/s
152.70.55.30,443,2a0b:21c0:1007:cb:0:7917:4e17:1fa2,DE,Frankfurt,隧道,92 ms,162 Mbps,20787 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,84 ms,312 Mbps,40038 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,166 ms,255 Mbps,32665 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,66 ms,254 Mbps,32563 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,65 ms,269 Mbps,34508 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,205 Mbps,26316 kB/s
35.230.79.26,443,35.233.204.31,US,Seattle,隧道,72 ms,300 Mbps,38400 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,83 ms,253 Mbps,32460 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,136 ms,223 Mbps,28569 kB/s
