中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,64 ms,274 Mbps,35123 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,51 ms,405 Mbps,51916 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,50 ms,463 Mbps,59289 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,17 ms,1064 Mbps,136192 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,12 ms,664 Mbps,85094 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,57 ms,406 Mbps,52019 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,64 ms,403 Mbps,51609 kB/s
129.146.111.62,443,129.146.111.62,US,Los Angeles,中转,82 ms,404 Mbps,51814 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,52 ms,412 Mbps,52736 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,94 ms,407 Mbps,52121 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,61 ms,307 Mbps,39321 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,200 Mbps,25600 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,49 ms,40 Mbps,5233 kB/s
192.9.138.241,443,192.9.138.241,,San Jose,中转,0 ms,412 Mbps,52838 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,98 ms,564 Mbps,72294 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,50 ms,326 Mbps,41779 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,189 ms,166 Mbps,21299 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,107 ms,181 Mbps,23244 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26b:52,US,Los Angeles,隧道,57 ms,66 Mbps,8448 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,81 ms,153 Mbps,19660 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,55 ms,1 Mbps,227 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,84 ms,46 Mbps,6011 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,195 Mbps,24985 kB/s
141.147.40.199,443,2a0b:21c0:1007:1c7:0:7c2a:d9fa:165a,DE,Frankfurt,隧道,110 ms,188 Mbps,24166 kB/s
138.3.251.120,443,2a0b:21c0:100a:1b3:0:25dd:e9dd:b604,DE,Frankfurt,隧道,111 ms,105 Mbps,13516 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,126 ms,46 Mbps,5922 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,146 ms,122 Mbps,15667 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,72 ms,54 Mbps,6987 kB/s
158.101.201.253,443,2a0b:21c0:1007:1c8:0:8b71:b071:127,DE,Frankfurt,隧道,113 ms,167 Mbps,21401 kB/s
144.24.189.154,443,2606:f240:f00:a683:0:4c77:b229:cae6,US,Frankfurt,隧道,108 ms,174 Mbps,22323 kB/s
130.162.175.136,443,2a0b:21c0:100a:1b7:0:48e4:5218:8930,DE,Frankfurt,隧道,114 ms,167 Mbps,21401 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,114 ms,56 Mbps,7224 kB/s
192.9.158.188,443,2a09:bac5:6444:28::4:2fc,US,San Jose,隧道,189 ms,181 Mbps,23244 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,109 ms,3 Mbps,404 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,57 ms,358 Mbps,45875 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,108 ms,43 Mbps,5546 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,115 ms,188 Mbps,24166 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,89 ms,448 Mbps,57344 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,157 ms,46 Mbps,5987 kB/s
138.2.122.191,443,138.2.122.191,KR,Seoul,中转,166 ms,42 Mbps,5430 kB/s
143.47.182.1,443,2a0b:21c0:1007:1c8:0:63d1:e6ac:6ff3,DE,Frankfurt,隧道,109 ms,192 Mbps,24678 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,65 ms,315 Mbps,40345 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,102 ms,49 Mbps,6282 kB/s
143.47.240.52,443,98.98.156.26,DE,Frankfurt,隧道,110 ms,183 Mbps,23449 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,132 ms,196 Mbps,25088 kB/s
144.21.37.253,443,2a0b:21c0:1007:1c9:0:936c:951:c936,DE,Frankfurt,隧道,109 ms,179 Mbps,22937 kB/s
158.178.238.239,443,158.178.238.239,SG,Singapore,中转,203 ms,23 Mbps,3037 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,110 ms,112 Mbps,14336 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,183 ms,107 Mbps,13721 kB/s
152.70.60.77,443,2a0b:21c0:100a:1b4:0:7830:36b6:ac00,DE,Frankfurt,隧道,121 ms,181 Mbps,23244 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,197 ms,77 Mbps,9894 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,133 ms,128 Mbps,16384 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,208 ms,40 Mbps,5198 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,153 ms,41 Mbps,5362 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,147 ms,0 Mbps,55 kB/s
158.101.141.78,443,158.101.141.78,JP,Tokyo,中转,212 ms,0 Mbps,83 kB/s
8.219.145.244,443,8.222.220.238,SG,Singapore,隧道,203 ms,65 Mbps,8441 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,169 ms,87 Mbps,11161 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,194 ms,25 Mbps,3269 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,185 ms,27 Mbps,3531 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,218 ms,73 Mbps,9386 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,208 ms,2 Mbps,296 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,166 ms,15 Mbps,2025 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,131 ms,84 Mbps,10854 kB/s
8.222.157.97,443,8.222.210.246,SG,Singapore,隧道,204 ms,73 Mbps,9440 kB/s
8.219.51.205,443,47.245.84.175,SG,Singapore,隧道,206 ms,71 Mbps,9135 kB/s
140.83.61.244,443,140.83.61.244,JP,Osaka,中转,197 ms,38 Mbps,4980 kB/s
8.219.117.176,443,47.236.1.53,SG,Singapore,隧道,208 ms,66 Mbps,8506 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,204 ms,36 Mbps,4614 kB/s
8.219.63.80,443,8.219.142.198,SG,Singapore,隧道,205 ms,71 Mbps,9172 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,188 ms,64 Mbps,8277 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,215 ms,61 Mbps,7846 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,207 ms,73 Mbps,9467 kB/s
8.219.182.107,443,8.219.142.198,SG,Singapore,隧道,209 ms,68 Mbps,8788 kB/s
8.222.151.165,443,8.222.220.238,SG,Singapore,隧道,204 ms,78 Mbps,10035 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,199 ms,43 Mbps,5621 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,242 ms,0 Mbps,51 kB/s
140.238.33.161,443,2603:c021:8002:900:4858:eede:fd8a:dd52,JP,Tokyo,隧道,214 ms,68 Mbps,8829 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,222 ms,72 Mbps,9318 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,191 ms,41 Mbps,5367 kB/s
