中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,752 Mbps,96358 kB/s
155.248.184.2,443,155.248.184.2,JP,Tokyo,中转,244 ms,28 Mbps,3628 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,59 ms,414 Mbps,53043 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,58 ms,420 Mbps,53862 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,35 ms,456 Mbps,58470 kB/s
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,58 ms,277 Mbps,35532 kB/s
35.230.79.26,443,34.168.250.177,US,Seattle,隧道,54 ms,540 Mbps,69120 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,67 ms,1 Mbps,228 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,20 ms,484 Mbps,61952 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,50 ms,525 Mbps,67276 kB/s
129.146.7.98,443,2a09:bac5:60e9:1173::1bd:f1,US,Los Angeles,隧道,59 ms,91 Mbps,11673 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,57 ms,22 Mbps,2938 kB/s
35.197.23.75,443,34.168.250.177,US,Seattle,隧道,68 ms,507 Mbps,64921 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,72 ms,394 Mbps,50483 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,336 Mbps,43008 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,70 ms,505 Mbps,64716 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,133 ms,175 Mbps,22425 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,33 ms,51 Mbps,6569 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,61 ms,402 Mbps,51507 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,61 ms,388 Mbps,49766 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,65 ms,331 Mbps,42393 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,76 ms,43 Mbps,5547 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,221 Mbps,28364 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,51 ms,118 Mbps,15155 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,62 ms,301 Mbps,38604 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,176 ms,169 Mbps,21708 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,124 ms,212 Mbps,27238 kB/s
129.153.126.67,443,2a09:bac5:60eb:183c::26a:2a,US,Los Angeles,隧道,58 ms,25 Mbps,3254 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,117 ms,223 Mbps,28569 kB/s
129.146.134.77,443,2a09:bac1:76a0:e18::c:357,US,Los Angeles,隧道,65 ms,34 Mbps,4427 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,48 Mbps,6214 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,203 Mbps,26009 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::4:345,US,San Jose,隧道,56 ms,55 Mbps,7068 kB/s
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,125 ms,48 Mbps,6176 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,76 ms,379 Mbps,48537 kB/s
8.209.217.106,443,8.209.217.106,JP,Osaka,中转,173 ms,29 Mbps,3838 kB/s
150.136.240.243,443,150.136.240.243,US,Seattle,中转,34 ms,364 Mbps,46592 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,178 ms,122 Mbps,15667 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,126 ms,188 Mbps,24166 kB/s
141.147.111.14,443,2606:f240:f00:2be4:0:2255:aa14:ab60,US,Frankfurt,隧道,131 ms,49 Mbps,6284 kB/s
204.110.220.3,443,204.110.220.236,US,,隧道,58 ms,333 Mbps,42700 kB/s
141.147.190.128,443,141.147.190.128,JP,Tokyo,中转,221 ms,34 Mbps,4461 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,129 Mbps,16588 kB/s
144.22.252.124,443,144.22.252.124,BR,S
