中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,320 Mbps,41062 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,17 ms,640 Mbps,81920 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,72 ms,47 Mbps,6049 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,5 ms,1480 Mbps,189440 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,52 ms,70 Mbps,9010 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,30 ms,1288 Mbps,164864 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,53 ms,570 Mbps,73011 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,99 ms,832 Mbps,106496 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,34 ms,1592 Mbps,203776 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,67 ms,1280 Mbps,163840 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,44 ms,707 Mbps,90521 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,21 ms,612 Mbps,78336 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,74 ms,48 Mbps,6196 kB/s
47.254.42.167,443,47.251.149.49,US,San Jose,隧道,68 ms,6 Mbps,841 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,41 ms,225 Mbps,28876 kB/s
35.197.23.75,443,35.230.48.200,US,Seattle,隧道,51 ms,652 Mbps,83456 kB/s
35.230.79.26,443,35.230.48.200,US,Seattle,隧道,56 ms,816 Mbps,104448 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,76 ms,368 Mbps,47206 kB/s
192.9.158.188,443,2a09:bac1:76c0:1cf0::1d2:30,US,San Jose,隧道,61 ms,216 Mbps,27648 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,149 ms,46 Mbps,5947 kB/s
138.2.227.94,443,138.2.227.94,US,San Jose,中转,52 ms,82 Mbps,10547 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,60 ms,37 Mbps,4747 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,73 ms,44 Mbps,5752 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,144 ms,136 Mbps,17408 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,159 ms,41 Mbps,5338 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,376 Mbps,48128 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,144 ms,110 Mbps,14131 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,61 ms,328 Mbps,41984 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,143 ms,68 Mbps,8728 kB/s
158.178.238.239,443,104.28.222.43,SG,Singapore,隧道,183 ms,38 Mbps,4966 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,142 ms,34 Mbps,4353 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,156 ms,106 Mbps,13619 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,186 Mbps,23859 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,124 ms,35 Mbps,4517 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,22 ms,88 Mbps,11264 kB/s
130.61.170.78,443,130.61.170.78,DE,Paris,中转,156 ms,62 Mbps,8021 kB/s
152.67.222.167,443,152.67.222.167,KR,Seoul,中转,131 ms,42 Mbps,5415 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,130 ms,127 Mbps,16281 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,156 ms,100 Mbps,12800 kB/s
47.242.91.144,443,47.242.91.144,HK,Hong Kong,中转,152 ms,30 Mbps,3913 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,162 ms,104 Mbps,13312 kB/s
64.110.79.188,443,64.110.79.188,KR,Seoul,中转,130 ms,126 Mbps,16179 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,149 ms,32 Mbps,4181 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,157 ms,125 Mbps,16076 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,156 ms,130 Mbps,16691 kB/s
152.70.88.98,443,2a09:bac5:4757:1482::20b:42,KR,Seoul,隧道,140 ms,17 Mbps,2229 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,149 ms,31 Mbps,4070 kB/s
152.67.65.201,443,152.67.65.201,CH,Zurich,中转,168 ms,43 Mbps,5589 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,156 ms,76 Mbps,9812 kB/s
129.151.244.9,443,129.151.244.9,FR,Marseille,中转,158 ms,51 Mbps,6640 kB/s
130.162.250.180,443,2603:c020:8014:a8ee:cad4:eb37:5749:cafa,DE,Frankfurt,隧道,157 ms,46 Mbps,6014 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,131 ms,135 Mbps,17305 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,131 ms,88 Mbps,11264 kB/s
