中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,19 ms,1424 Mbps,182272 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,18 ms,324 Mbps,41472 kB/s
35.230.79.26,443,35.212.204.241,US,Seattle,隧道,37 ms,644 Mbps,82432 kB/s
35.197.23.75,443,35.212.204.241,US,Seattle,隧道,40 ms,648 Mbps,82944 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,17 ms,339 Mbps,43417 kB/s
34.82.76.253,443,136.118.180.134,US,Seattle,隧道,36 ms,680 Mbps,87142 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,27 ms,864 Mbps,110592 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,66 ms,6 Mbps,869 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,67 ms,424 Mbps,54272 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,113 ms,246 Mbps,31539 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,124 ms,46 Mbps,5961 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,129 ms,46 Mbps,5965 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,124 ms,41 Mbps,5291 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,144 ms,50 Mbps,6429 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,142 ms,46 Mbps,5980 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,178 ms,19 Mbps,2440 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,142 ms,40 Mbps,5205 kB/s
