中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
23.94.43.51,443,23.94.43.51,US,Seattle,中转,41 ms,502 Mbps,64307 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,18 ms,1136 Mbps,145408 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,27 ms,572 Mbps,73318 kB/s
35.230.79.26,443,35.212.152.186,US,Seattle,隧道,44 ms,545 Mbps,69836 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,72 ms,27 Mbps,3477 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,41 ms,307 Mbps,39321 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,56 ms,407 Mbps,52121 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,55 ms,49 Mbps,6391 kB/s
34.82.76.253,443,34.169.18.214,US,Seattle,隧道,44 ms,653 Mbps,83660 kB/s
35.197.23.75,443,35.212.152.186,US,Seattle,隧道,44 ms,612 Mbps,78336 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,30 ms,748 Mbps,95846 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,21 ms,50 Mbps,6403 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,65 ms,52 Mbps,6694 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,162 ms,112 Mbps,14438 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,131 ms,212 Mbps,27136 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,21 ms,816 Mbps,104448 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,131 ms,40 Mbps,5124 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,197 ms,2 Mbps,377 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,49 ms,287 Mbps,36761 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,155 ms,98 Mbps,12595 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,68 ms,36 Mbps,4713 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,30 ms,67 Mbps,8600 kB/s
150.230.113.136,443,98.98.166.178,US,Frankfurt,隧道,165 ms,124 Mbps,15872 kB/s
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,93 ms,33 Mbps,4342 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,140 ms,134 Mbps,17203 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,24 ms,448 Mbps,57344 kB/s
8.219.192.7,443,8.222.213.200,SG,Singapore,隧道,191 ms,17 Mbps,2285 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,155 ms,43 Mbps,5513 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,150 ms,188 Mbps,24166 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,86 ms,49 Mbps,6350 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,152 ms,120 Mbps,15462 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,63 ms,35 Mbps,4509 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,145 ms,130 Mbps,16691 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,149 ms,39 Mbps,5021 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,160 Mbps,20582 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,167 ms,35 Mbps,4529 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,150 ms,186 Mbps,23859 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,130 ms,137 Mbps,17612 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,167 ms,44 Mbps,5675 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,170 ms,133 Mbps,17100 kB/s
130.162.144.191,443,2a09:bac5:4737:1a14::299:22,KR,Seoul,隧道,145 ms,38 Mbps,4907 kB/s
193.122.109.208,443,217.142.149.56,KR,Seoul,隧道,142 ms,141 Mbps,18124 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,135 ms,43 Mbps,5530 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,146 ms,42 Mbps,5396 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,154 ms,31 Mbps,4058 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,201 ms,80 Mbps,10342 kB/s
144.22.252.124,443,144.22.252.124,BR,S
