中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,6 ms,784 Mbps,100352 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,63 ms,308 Mbps,39526 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,86 ms,43 Mbps,5569 kB/s
35.197.23.75,443,35.212.215.237,US,Seattle,隧道,98 ms,344 Mbps,44032 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,11 ms,68 Mbps,8754 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,40 ms,554 Mbps,70963 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,7 ms,84 Mbps,10854 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,37 ms,551 Mbps,70553 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,135 Mbps,17305 kB/s
129.146.46.164,443,129.146.46.164,,Salt Lake City,中转,0 ms,248 Mbps,31744 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,110 ms,218 Mbps,27955 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,73 ms,352 Mbps,45056 kB/s
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,18 ms,1 Mbps,146 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,80 ms,336 Mbps,43110 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,88 ms,223 Mbps,28569 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,169 Mbps,21708 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,92 ms,49 Mbps,6294 kB/s
193.123.61.156,443,2a0b:21c0:100a:1b7:0:4587:2b05:2302,DE,Frankfurt,隧道,99 ms,244 Mbps,31334 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,102 ms,284 Mbps,36352 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,65 ms,272 Mbps,34816 kB/s
158.101.221.74,443,2a0b:21c0:1007:cb:0:159:cab9:c639,DE,Frankfurt,隧道,89 ms,274 Mbps,35123 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,74 ms,359 Mbps,45977 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,66 ms,13 Mbps,1716 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,92 ms,48 Mbps,6222 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,103 ms,46 Mbps,5985 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,91 ms,48 Mbps,6175 kB/s
35.230.79.26,443,35.212.215.237,US,Seattle,隧道,82 ms,320 Mbps,40960 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,74 ms,348 Mbps,44544 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,96 ms,272 Mbps,34816 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,105 ms,47 Mbps,6073 kB/s
193.123.38.223,443,2a0b:21c0:1007:1c7:0:4e2d:bf43:ad16,DE,Frankfurt,隧道,89 ms,256 Mbps,32870 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,169 ms,109 Mbps,14028 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,91 ms,199 Mbps,25497 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,120 ms,208 Mbps,26624 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,142 ms,144 Mbps,18432 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,211 ms,101 Mbps,13004 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,201 ms,70 Mbps,9045 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,205 ms,31 Mbps,3976 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,244 ms,88 Mbps,11366 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,200 ms,92 Mbps,11776 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,228 ms,73 Mbps,9384 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,227 ms,39 Mbps,5013 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,213 ms,34 Mbps,4468 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,224 ms,74 Mbps,9550 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,221 ms,30 Mbps,3939 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,225 ms,2 Mbps,257 kB/s
130.162.144.191,443,2a09:bac5:4733:1482::20b:82,KR,Seoul,隧道,219 ms,31 Mbps,4010 kB/s
8.222.171.165,443,8.222.210.246,SG,Singapore,隧道,249 ms,42 Mbps,5472 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,255 ms,27 Mbps,3582 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,291 ms,63 Mbps,8106 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,245 ms,45 Mbps,5793 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,214 ms,10 Mbps,1378 kB/s
146.56.137.229,443,2602:ffe4:407:21d9:0:a01f:aac5:22b8,SG,Singapore,隧道,308 ms,31 Mbps,4002 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,219 ms,17 Mbps,2242 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,287 ms,0 Mbps,21 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,0 ms,0 Mbps,23 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,222 ms,3 Mbps,433 kB/s
