中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,39 ms,686 Mbps,87859 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,36 ms,680 Mbps,87040 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,37 ms,521 Mbps,66764 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,27 ms,344 Mbps,44134 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,25 ms,832 Mbps,106496 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,26 ms,680 Mbps,87040 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,37 ms,548 Mbps,70144 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,40 ms,575 Mbps,73625 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,121 ms,201 Mbps,25804 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,133 ms,158 Mbps,20275 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,128 ms,156 Mbps,20070 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,129 ms,46 Mbps,5977 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,130 ms,47 Mbps,6064 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,134 ms,196 Mbps,25088 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,139 ms,41 Mbps,5338 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,169 ms,44 Mbps,5705 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,97 ms,0 Mbps,102 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,193 ms,29 Mbps,3806 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,140 ms,43 Mbps,5622 kB/s
