中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,262 ms,29 Mbps,3753 kB/s,3753.0
8.219.96.98,443,8.222.213.200,SG,Singapore,隧道,398 ms,26 Mbps,3407 kB/s,3407.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,57 ms,24 Mbps,3096 kB/s,3096.0
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,177 ms,22 Mbps,2866 kB/s,2866.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,214 ms,14 Mbps,1903 kB/s,1903.0
8.219.192.155,443,47.84.40.188,SG,Singapore,隧道,305 ms,10 Mbps,1368 kB/s,1368.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,213 ms,3 Mbps,394 kB/s,394.0
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,196 ms,2 Mbps,337 kB/s,337.0
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,287 ms,2 Mbps,322 kB/s,322.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,262 ms,2 Mbps,303 kB/s,303.0
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,156 ms,2 Mbps,272 kB/s,272.0
8.219.170.109,443,47.84.40.188,SG,Singapore,隧道,278 ms,2 Mbps,264 kB/s,264.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,282 ms,0 Mbps,65 kB/s,65.0
129.146.46.164,443,129.146.46.164,US,285 Mbps,36556 kB/s,,,,
